seg89,"(37.3944808, -122.0838354)","(37.3942339, -122.0839862)"
seg90,"(37.3955127, -122.079322)","(37.3959841, -122.0804388)"
seg91,"(37.3953642, -122.0807865)","(37.3950976, -122.0809412)"
seg92,"(37.3954768, -122.0832123)","(37.3945033, -122.0838216)"
seg93,"(37.3951324, -122.0823378)","(37.3953637, -122.0829254)"
seg94,"(37.3942295, -122.0839889)","(37.3941041, -122.0840664)"
seg95,"(37.3867965, -122.0832821)","(37.3863943, -122.0835081)"
seg96,"(37.3853069, -122.0832136)","(37.3855505, -122.0837022)"
seg97,"(37.3871883, -122.0870091)","(37.3875593, -122.087776)"
seg98,"(37.3848431, -122.0803201)","(37.3842631, -122.080681)"
seg99,"(37.385486, -122.0799798)","(37.3859413, -122.0809052)"
seg100,"(37.3861113, -122.0795957)","(37.38661829999999, -122.0806171)"
seg101,"(37.3872289, -122.0818596)","(37.3866289, -122.0822298)"
seg102,"(37.38811219999999, -122.0862548)","(37.3882383, -122.0865428)"
seg103,"(37.3862749, -122.0781849)","(37.3862749, -122.0781849)"
seg104,"(37.3872719, -122.0802205)","(37.3866361, -122.0805973)"
seg105,"(37.3877935, -122.0812952)","(37.3878863, -122.0814799)"
seg106,"(37.3895816, -122.0801811)","(37.3878165, -122.0812559)"
seg107,"(37.3913357, -122.0846336)","(37.3898223, -122.0855751)"
seg108,"(37.3909146, -122.083545)","(37.3913401, -122.0846375)"
seg109,"(37.3929131, -122.084801)","(37.3917304, -122.0855228)"
seg110,"(37.3921275, -122.0827687)","(37.3909292, -122.0835016)"
seg111,"(37.3921373, -122.0827971)","(37.3925609, -122.0838949)"
seg112,"(37.3916705, -122.0775315)","(37.3917555, -122.0777462)"
seg113,"(37.3946882, -122.0811791)","(37.3934411, -122.0819523)"
seg114,"(37.39254440000001, -122.079752)","(37.3925807, -122.079845)"
seg115,"(37.3925477, -122.0758258)","(37.3929323, -122.0767334)"
seg116,"(37.3931935, -122.0751693)","(37.3929788, -122.0752999)"
seg117,"(37.3929753, -122.0753021)","(37.3928651, -122.0753721)"
seg118,"(37.3941338, -122.076883)","(37.3941827, -122.0770024)"
seg119,"(37.3955018, -122.0792932)","(37.3942676, -122.0800517)"
seg120,"(37.3862169, -122.0850499)","(37.3871618, -122.0869556)"
seg121,"(37.3886516, -122.0779694)","(37.3867759, -122.0791445)"
seg122,"(37.3911598, -122.0719654)","(37.391012, -122.0720586)"
seg123,"(37.3859776, -122.082636)","(37.3854947, -122.0829219)"
seg124,"(37.3848483, -122.0803533)","(37.3853636, -122.0813905)"
seg125,"(37.386624, -122.0806045)","(37.3860844, -122.0809315)"
seg126,"(37.3882452, -122.0865587)","(37.3887265, -122.0876813)"
seg127,"(37.3862749, -122.0781849)","(37.3862749, -122.0781849)"
seg128,"(37.3871993, -122.0842096)","(37.3875835, -122.0850676)"
seg129,"(37.3867561, -122.0791933)","(37.3872669, -122.0802324)"
seg130,"(37.3895952, -122.0802007)","(37.3898173, -122.0807487)"
seg131,"(37.389658, -122.080822)","(37.38989189999999, -122.0812819)"
seg132,"(37.3913482, -122.0846579)","(37.3917081, -122.0855461)"
seg133,"(37.3923947, -122.0839888)","(37.3913618, -122.0846175)"
seg134,"(37.3925688, -122.0839153)","(37.3928614, -122.0846713)"
seg135,"(37.391176, -122.081313)","(37.3914812, -122.0811555)"
seg136,"(37.3924496, -122.0756334)","(37.3912989, -122.075949)"
seg137,"(37.3912366, -122.0763775)","(37.3910974, -122.0764683)"
seg138,"(37.391236, -122.0764123)","(37.3916652, -122.0775179)"
seg139,"(37.3941014, -122.084068)","(37.3940959, -122.0840714)"
seg140,"(37.3934261, -122.081996)","(37.3938567, -122.0830864)"
seg141,"(37.3938451, -122.0790761)","(37.3939041, -122.079219)"
seg142,"(37.3929389, -122.0767503)","(37.3933608, -122.0778573)"
seg143,"(37.3935179, -122.075271)","(37.3938574, -122.0761563)"
seg144,"(37.3940185, -122.077426)","(37.3939557, -122.0774666)"
seg145,"(37.3950475, -122.0780815)","(37.3947197, -122.0783237)"
seg146,"(37.3911491, -122.0685417)","(37.3911491, -122.0685417)"
seg147,"(37.3938575, -122.083079)","(37.39277939999999, -122.083743)"
seg148,"(37.3863854, -122.0835133)","(37.3859808, -122.0837498)"
